Date,Country/Region,Confirmed,Recovered,Deaths
1/21/20,Italy,0,0,0
1/22/20,Italy,0,0,0
1/23/20,Italy,0,0,0
1/24/20,Italy,0,0,0
1/25/20,Italy,0,0,0
1/26/20,Italy,0,0,0
1/27/20,Italy,0,0,0
1/28/20,Italy,0,0,0
1/29/20,Italy,0,0,0
1/30/20,Italy,0,0,0
1/31/20,Italy,2,0,0
2/1/20,Italy,2,0,0
2/2/20,Italy,2,0,0
2/3/20,Italy,2,0,0
2/4/20,Italy,2,0,0
2/5/20,Italy,2,0,0
2/6/20,Italy,2,0,0
2/7/20,Italy,3,0,0
2/8/20,Italy,3,0,0
2/9/20,Italy,3,0,0
2/10/20,Italy,3,0,0
2/11/20,Italy,3,0,0
2/12/20,Italy,3,0,0
2/13/20,Italy,3,0,0
2/14/20,Italy,3,0,0
2/15/20,Italy,3,0,0
2/16/20,Italy,3,0,0
2/17/20,Italy,3,0,0
2/18/20,Italy,3,0,0
2/19/20,Italy,3,0,0
2/20/20,Italy,3,0,0
2/21/20,Italy,20,0,1
2/22/20,Italy,62,1,2
2/23/20,Italy,155,2,3
2/24/20,Italy,229,1,7
2/25/20,Italy,322,1,10
2/26/20,Italy,453,3,12
2/27/20,Italy,655,45,17
2/28/20,Italy,888,46,21
2/29/20,Italy,1128,46,29
3/1/20,Italy,1694,83,34
3/2/20,Italy,2036,149,52
3/3/20,Italy,2502,160,79
3/4/20,Italy,3089,276,107
3/5/20,Italy,3858,414,148
3/6/20,Italy,4636,523,197
3/7/20,Italy,5883,589,233
3/8/20,Italy,7375,622,366
3/9/20,Italy,9172,724,463
3/10/20,Italy,10149,724,631
3/11/20,Italy,12462,1045,827
3/12/20,Italy,12462,1045,827
3/13/20,Italy,17660,1439,1266
3/14/20,Italy,21157,1966,1441
3/15/20,Italy,24747,2335,1809
3/16/20,Italy,27980,2749,2158
3/17/20,Italy,31506,2941,2503
3/18/20,Italy,35713,4025,2978
3/19/20,Italy,41035,4440,3405
3/20/20,Italy,47021,4440,4032
3/21/20,Italy,53578,6072,4825
3/22/20,Italy,59138,7024,5476
3/23/20,Italy,63927,7024,6077
3/24/20,Italy,69176,8326,6820
3/25/20,Italy,74386,9362,7503
3/26/20,Italy,80589,10361,8215
3/27/20,Italy,86498,10950,9134
3/28/20,Italy,92472,12384,10023
3/29/20,Italy,97689,13030,10779
3/30/20,Italy,101739,14620,11591
3/31/20,Italy,105792,15729,12428
4/1/20,Italy,110574,16847,13155
